,title,salary,link,site
154,"Разработчик Python| Developer Python, удаленно","{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47767147?from=vacancy_search_list&query=python%20developer,https://hh.ru
155,Data scientist,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48327609?from=vacancy_search_list&query=python%20developer,https://hh.ru
156,Middle Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48087131?from=vacancy_search_list&query=python%20developer,https://hh.ru
157,Python developer (Middle),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47880469?from=vacancy_search_list&query=python%20developer,https://hh.ru
158,Web-программист/ Разработчик Python/Django,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48368964?from=vacancy_search_list&query=python%20developer,https://hh.ru
159,Backend - разработчик (Python),"{'min_salary': 120000, 'max_salary': 220000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/43615645?from=vacancy_search_list&query=python%20developer,https://hh.ru
160,Разработчик Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/46692455?from=vacancy_search_list&query=python%20developer,https://hh.ru
161,"Разработчик Python| Developer Python, удаленно","{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47767146?from=vacancy_search_list&query=python%20developer,https://hh.ru
162,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47895944?from=vacancy_search_list&query=python%20developer,https://hh.ru
163,Senior Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/43068985?from=vacancy_search_list&query=python%20developer,https://hh.ru
164,Backend-разработчик (python),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47764127?from=vacancy_search_list&query=python%20developer,https://hh.ru
165,Python-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48288997?from=vacancy_search_list&query=python%20developer,https://hh.ru
166,"Разработчик Python| Developer Python, удаленно","{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47767149?from=vacancy_search_list&query=python%20developer,https://hh.ru
167,Python разработчик (Senior),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47474397?from=vacancy_search_list&query=python%20developer,https://hh.ru
168,Senior Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/44220581?from=vacancy_search_list&query=python%20developer,https://hh.ru
169,Программист Python,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48322348?from=vacancy_search_list&query=python%20developer,https://hh.ru
170,Python Developer (SPB/Remote),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/43536761?from=vacancy_search_list&query=python%20developer,https://hh.ru
